Date,Open,High,Low,Close,Volume
2020-01-02,71.62711457359606,72.68131173298212,71.3732406928673,72.62086486816406,135480400
2020-01-03,71.84711763961168,72.67644657227763,71.68995732022762,71.9148178100586,146322800
2020-01-06,71.0347019061165,72.52652560345562,70.7832410162985,72.48783874511719,118387200
2020-01-07,72.49752942348555,72.75382346407903,71.92691473047077,72.14694213867188,108872000
2020-01-08,71.84952541053639,73.60973691556963,71.84952541053639,73.30750274658203,132079200
2020-01-09,74.28673353041597,75.05803566834844,74.03528003135865,74.86460876464844,170108400
2020-01-10,75.0991465547697,75.59964810131231,74.53094485063419,75.03385925292969,140644800
2020-01-13,75.35062150930146,76.66352519200935,75.23214067732687,76.63692474365234,121532000
2020-01-14,76.5740713542954,76.78442520845898,75.47877474428456,75.60208129882812,161954400
2020-01-15,75.40137480354196,76.28389701753257,74.84525955808967,75.27806091308594,121923600
2020-01-16,75.82209118249474,76.33226630764163,75.45941017193344,76.22103881835938,108829200
2020-01-17,76.47010092249148,77.06731611579798,76.16303357048375,77.06490325927734,137816400
2020-01-21,76.6925476967564,77.13501540190998,76.40482009407555,76.54264068603516,110843200
2020-01-22,77.02861598860008,77.36953706088629,76.7215486894379,76.81584930419922,101832400
2020-01-23,76.86902733138429,77.26555469566965,76.3201653975001,77.1857681274414,104472000
2020-01-24,77.43241654524255,78.17711850688946,76.77233427243553,76.96334838867188,146537600
2020-01-27,74.96859100895418,75.38204534370864,73.71613420898714,74.70021057128906,161940000
2020-01-28,75.58273394834251,76.98509775416542,75.48360024038988,76.81343078613281,162234000
2020-01-29,78.44793376695945,79.2700095443192,77.7056445939798,78.42133331298828,216229200
2020-01-30,77.50253703825538,78.3608793764205,77.06973551628201,78.30768585205078,126743200
2020-01-31,77.59682491329659,78.01995284367814,74.54063615595594,74.83561706542969,199588400
2020-02-03,73.57589958168212,75.79792627872014,73.0729850588055,74.63009643554688,173788400
2020-02-04,76.23798079684781,77.2849243200521,75.83177975550196,77.09391021728516,136616400
2020-02-05,78.22304366333603,78.52286500581071,77.11808104147103,77.72254943847656,118826800
2020-02-06,77.99336084201738,78.63409595534088,77.43483255655748,78.63167572021484,105425600
2020-02-07,78.12996756118129,78.37959926522765,77.07085045375861,77.5628433227539,117684000
2020-02-10,76.1450504217699,77.9312515258789,76.06507446922856,77.9312515258789,109348800
2020-02-11,78.42810123691775,78.50080665271824,77.24295118542182,77.46107482910156,94323200
